document_id,extension,status,extraction_method,residual_high_confidence_pi_pattern_count
doc_9c6a68cd317d6ce8,.pdf,duplicate,not_attempted,0
doc_d37b802f5a17d699,.pdf,duplicate,not_attempted,0
doc_a0dbc7d5388dfae3,.pdf,duplicate,not_attempted,0
doc_abcbe5b2a5f33230,.pdf,duplicate,not_attempted,0
doc_e5003057f1329ff5,.pdf,duplicate,not_attempted,0
doc_8810b09e3ac4d266,.pdf,duplicate,not_attempted,0
doc_0ac479a6092bd699,.pdf,duplicate,not_attempted,0
doc_473e847c77fd3fc2,.pdf,duplicate,not_attempted,0
doc_da1c8bfd66cd71a7,.pdf,duplicate,not_attempted,0
doc_9922743b5ad3c97a,.pdf,duplicate,not_attempted,0
doc_a7a6c6f7c7f96d12,.pdf,duplicate,not_attempted,0
doc_b2229d311601db0d,.pdf,duplicate,not_attempted,0
doc_3a22b7d8f4a71669,.pdf,duplicate,not_attempted,0
doc_ed0bcc96fae6099d,.pdf,duplicate,not_attempted,0
doc_17f9d0e66c39ac15,.pdf,duplicate,not_attempted,0
doc_34d156a34c42a37f,.pdf,duplicate,not_attempted,0
doc_64c05474205150ac,.pdf,duplicate,not_attempted,0
doc_7c36a6348b500705,.pdf,duplicate,not_attempted,0
doc_f80b50173d649d00,.pdf,duplicate,not_attempted,0
doc_80bcffc1534759dc,.pdf,duplicate,not_attempted,0
doc_5dcd79edefc3caac,.pdf,duplicate,not_attempted,0
doc_fd3abba808ebd8cc,.pdf,duplicate,not_attempted,0
doc_0cc1e63911b511e6,.pdf,duplicate,not_attempted,0
doc_814804be95d2f6f3,.pdf,duplicate,not_attempted,0
doc_4ca72a799dc2f0a1,.pdf,duplicate,not_attempted,0
doc_21a4c019659c6bf6,.pdf,duplicate,not_attempted,0
doc_a9f02a0099fdc67e,.pdf,duplicate,not_attempted,0
doc_494acd8832261b1d,.pdf,duplicate,not_attempted,0
doc_7d857ce2b4f52902,.pdf,duplicate,not_attempted,0
doc_786977520f760723,.pdf,duplicate,not_attempted,0
doc_8b4b18765ca288bc,.pdf,duplicate,not_attempted,0
doc_aa3da243d997ca47,.pdf,duplicate,not_attempted,0
doc_28116b1d0ce9e394,.pdf,duplicate,not_attempted,0
doc_ffabe2adc9f36bb0,.pdf,duplicate,not_attempted,0
doc_7d4bee31a8b8e140,.pdf,duplicate,not_attempted,0
doc_bbda9d39e33dca95,.pdf,duplicate,not_attempted,0
doc_72eb52f762594ab1,.pdf,duplicate,not_attempted,0
doc_5999ec652a9746f8,.tif,extraction_unavailable,image_ocr_unavailable,0
doc_784297d9c448a6cf,.tif,extraction_unavailable,image_ocr_unavailable,0
doc_b003a0481bc98b2e,.pdf,extraction_unavailable,pymupdf,0
doc_6faddd21aacbb407,.pdf,extraction_unavailable,pymupdf,0
doc_eb4b101361745e38,.docx,extraction_unavailable,python_docx_with_tables,0
doc_8a2cce03d61cc7ed,.pdf,extraction_unavailable,pymupdf,0
doc_9cf2881ef57265e9,.pdf,extraction_unavailable,pymupdf,0
doc_317b575bb1ca6962,.jpg,duplicate,not_attempted,0
doc_7738485685ece2ec,.jpg,extraction_unavailable,pytesseract,0
doc_3e58936ec8d9703c,.jpg,extraction_unavailable,pytesseract,0
doc_5060c4318c6670d3,.pdf,extraction_unavailable,pymupdf,0
doc_684e91cdbb32a231,.pdf,duplicate,not_attempted,0
doc_9c1214ae38532989,.pdf,duplicate,not_attempted,0
doc_596fb21d956c4cf4,.pdf,duplicate,not_attempted,0
doc_93e0bd5b148823a5,.pdf,duplicate,not_attempted,0
doc_b1bd65d0bbfe2e06,.pdf,extraction_unavailable,pymupdf,0
doc_61846c64ff2a5087,.pdf,duplicate,not_attempted,0
doc_c5ad98d373e01e06,.pdf,duplicate,not_attempted,0
doc_a627b668e531987b,.pdf,duplicate,not_attempted,0
doc_6da4b3e87823f78b,.pdf,duplicate,not_attempted,0
doc_e1fa8d1b419a76b0,.pdf,duplicate,not_attempted,0
doc_9ac69a3c809290c7,.pdf,duplicate,not_attempted,0
doc_f0b20322f8e6da67,.pdf,duplicate,not_attempted,0
doc_a59ccf6434a11ea7,.pdf,duplicate,not_attempted,0
doc_44fa698812db7f53,.pdf,duplicate,not_attempted,0
doc_cb4a0a9344d65704,.pdf,duplicate,not_attempted,0
doc_77ddde926439c13d,.pdf,duplicate,not_attempted,0
doc_c252ee5192f84d6b,.pdf,duplicate,not_attempted,0
doc_ea7db8ba2f94c4bc,.pdf,duplicate,not_attempted,0
doc_e6d740f74ccf7ccd,.pdf,duplicate,not_attempted,0
doc_1defcdbf1e5b8648,.pdf,duplicate,not_attempted,0
doc_b429b2dd9710db3c,.pdf,duplicate,not_attempted,0
doc_0db70cb112455838,.pdf,duplicate,not_attempted,0
doc_724e180598159fd0,.pdf,duplicate,not_attempted,0
doc_9eadd99322dcb465,.pdf,extraction_unavailable,pymupdf,0
doc_7e9f15ad33c4d4cb,.pdf,duplicate,not_attempted,0
doc_e129af09628a3993,.pdf,extraction_unavailable,pymupdf,0
doc_065cc38458f65b9a,.pdf,duplicate,not_attempted,0
doc_2e96a7527f419267,.pdf,duplicate,not_attempted,0
doc_91a92ccad480a156,.pdf,duplicate,not_attempted,0
doc_4a3d939b4706853f,.pdf,duplicate,not_attempted,0
doc_67bf26ed53b86bb8,.pdf,duplicate,not_attempted,0
doc_e6183ef58207d226,.pdf,extraction_unavailable,pymupdf,0
doc_f6d9b3865efc6800,.pdf,duplicate,not_attempted,0
doc_364b6e323c224651,.pdf,duplicate,not_attempted,0
doc_fd4cc2f4d287955a,.pdf,duplicate,not_attempted,0
doc_c23237f39ad3c4f8,.pdf,duplicate,not_attempted,0
doc_212cf21ebeb2a90a,.pdf,duplicate,not_attempted,0
doc_772597ed074b9903,.pdf,duplicate,not_attempted,0
doc_bdbb3ae60f39ea2b,.pdf,duplicate,not_attempted,0
doc_51dad4aab829bb0b,.pdf,duplicate,not_attempted,0
doc_fdee45d5151bf3b2,.pdf,duplicate,not_attempted,0
doc_11799f31e6b1bf2d,.pdf,duplicate,not_attempted,0
doc_0bc2168ebd16f272,.pdf,extraction_unavailable,pymupdf,0
doc_5f54a4ea1303d815,.pdf,extraction_unavailable,pymupdf,0
doc_2aac2596f9312173,.pdf,extraction_unavailable,pymupdf,0
doc_991a2e53decb6194,.pdf,extraction_unavailable,pymupdf,0
doc_b716eb1805bc0140,.pdf,extraction_unavailable,pymupdf,0
doc_b3329e903da68c4f,.pdf,extraction_unavailable,pymupdf,0
doc_1ec1888476f2c271,.pdf,extraction_unavailable,pymupdf,0
doc_2e29902c50126e1a,.pdf,extraction_unavailable,pymupdf,0
doc_b20fa0c9d56c18a3,.pdf,extraction_unavailable,pymupdf,0
doc_a7d9a415054f3ac8,.pdf,extraction_unavailable,pymupdf,0
doc_73721490ebbf0b57,.tif,extraction_unavailable,image_ocr_unavailable,0
doc_5f9b38bd6fda57ea,.pdf,duplicate,not_attempted,0
doc_e220f2c0527b720e,.pdf,duplicate,not_attempted,0
doc_d9f8434bacb0f259,.pdf,duplicate,not_attempted,0
doc_b9ce8503e8c9184c,.pdf,duplicate,not_attempted,0
doc_bab77e3c05170e3d,.pdf,duplicate,not_attempted,0
doc_7db91d832ffc4d8c,.pdf,duplicate,not_attempted,0
doc_8665d1c4cbf49163,.pdf,duplicate,not_attempted,0
doc_a32736a569766610,.pdf,duplicate,not_attempted,0
doc_323059f3b5a6866d,.pdf,duplicate,not_attempted,0
doc_c80863ca5d5b6105,.pdf,duplicate,not_attempted,0
doc_60c41891de0927d2,.mp3,unsupported,not_attempted,0
doc_71e9b3316cd8ca65,.jpg,extraction_unavailable,pytesseract,0
doc_7e9f20e4039b6897,.pdf,duplicate,not_attempted,0
doc_5bffd93587d122d6,.pdf,extraction_unavailable,pymupdf,0
doc_0cdcdec589786728,.pdf,duplicate,not_attempted,0
doc_ec979c2ef2e78e19,.mp3,unsupported,not_attempted,0
doc_210462bbd1d13998,.pdf,extraction_unavailable,pymupdf,0
doc_73c85526916ba3f5,.pdf,extraction_unavailable,pymupdf,0
doc_81bc5073d17bc571,.pdf,extraction_unavailable,pymupdf,0
doc_be478b718df7e9ae,.tif,extraction_unavailable,image_ocr_unavailable,0
