document_id,extension,size_bytes,extraction_attempted,extraction_method,tokenization_attempted,residual_high_confidence_pi_pattern_count,blocked_for_ai_extraction,needs_operator_review,status
doc_6906d07e58afa177,.pdf,58715,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_6648c56c70f510fd,.pdf,58784,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_1d7328beb04b498d,.pdf,56629,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_1cc22c046b4bb745,.pdf,120036,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5711faf5160d7d87,.pdf,126163,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_9c6a68cd317d6ce8,.pdf,126163,False,not_attempted,False,0,True,True,duplicate
doc_8bf3ba3870185dec,.pdf,60986,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_d7908eb0c145c0df,.pdf,59968,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_c3473805b90c7166,.pdf,61119,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5ebc3d296d3a6b5f,.pdf,57646,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_9cc4b80fd9d64b0d,.pdf,143069,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_9eb89281d7bc7580,.pdf,75564,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_d37b802f5a17d699,.pdf,120036,False,not_attempted,False,0,True,True,duplicate
doc_3920967cd4b38360,.pdf,56900,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_84272c72e870497e,.pdf,6641343,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5f2bd8b36e97161c,.pdf,59447,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_3b7d7d6870e7dce2,.pdf,59763,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_025b34eebcf36cb6,.pdf,59794,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_b03eb64de6fea625,.pdf,61184,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_cc27d8055046113a,.pdf,111822,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_a0dbc7d5388dfae3,.pdf,111822,False,not_attempted,False,0,True,True,duplicate
doc_abcbe5b2a5f33230,.pdf,111822,False,not_attempted,False,0,True,True,duplicate
doc_e5003057f1329ff5,.pdf,111822,False,not_attempted,False,0,True,True,duplicate
doc_8810b09e3ac4d266,.pdf,120036,False,not_attempted,False,0,True,True,duplicate
doc_0ac479a6092bd699,.pdf,120036,False,not_attempted,False,0,True,True,duplicate
doc_473e847c77fd3fc2,.pdf,126163,False,not_attempted,False,0,True,True,duplicate
doc_f34d90a35fe84a9c,.pdf,152003,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_da1c8bfd66cd71a7,.pdf,143069,False,not_attempted,False,0,True,True,duplicate
doc_e5c31f253c309afc,.pdf,105848,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_9922743b5ad3c97a,.pdf,120036,False,not_attempted,False,0,True,True,duplicate
doc_a7a6c6f7c7f96d12,.pdf,126163,False,not_attempted,False,0,True,True,duplicate
doc_474daaa7480dc0f6,.pdf,60329,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_b2229d311601db0d,.pdf,126163,False,not_attempted,False,0,True,True,duplicate
doc_3a22b7d8f4a71669,.pdf,105848,False,not_attempted,False,0,True,True,duplicate
doc_4ff3d920232c4a4c,.pdf,78961,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_f5715c0002539cfd,.pdf,60697,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_ed0bcc96fae6099d,.pdf,120036,False,not_attempted,False,0,True,True,duplicate
doc_9fa0431c5db535d6,.pdf,59871,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_879127e405c828b8,.pdf,58768,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_e3a0870cfc588532,.pdf,59349,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_17f9d0e66c39ac15,.pdf,111822,False,not_attempted,False,0,True,True,duplicate
doc_34d156a34c42a37f,.pdf,120036,False,not_attempted,False,0,True,True,duplicate
doc_64c05474205150ac,.pdf,78961,False,not_attempted,False,0,True,True,duplicate
doc_862ea062762290f2,.pdf,132755,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_24693c9bb3d5c1d1,.pdf,124000,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5a10935016a5c3ff,.pdf,79709,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_7c36a6348b500705,.pdf,126163,False,not_attempted,False,0,True,True,duplicate
doc_f0a0170e6684b817,.pdf,150555,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_f80b50173d649d00,.pdf,143069,False,not_attempted,False,0,True,True,duplicate
doc_f0d69b2abe2526a9,.pdf,87115,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_80bcffc1534759dc,.pdf,75564,False,not_attempted,False,0,True,True,duplicate
doc_f579f6a8cd981cf3,.pdf,80831,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_1471a5e95122148a,.pdf,62216,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_ba42e59992c5f008,.pdf,59839,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_badd4f6d5980e2a7,.pdf,58850,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_636daa1f738f0b92,.pdf,59713,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5dcd79edefc3caac,.pdf,120036,False,not_attempted,False,0,True,True,duplicate
doc_fd3abba808ebd8cc,.pdf,59713,False,not_attempted,False,0,True,True,duplicate
doc_0cc1e63911b511e6,.pdf,80831,False,not_attempted,False,0,True,True,duplicate
doc_4492f63c3e71985a,.pdf,56840,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_ec764330d75cbaa6,.pdf,60210,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_cc8ef0ad190b7e11,.pdf,60071,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_814804be95d2f6f3,.pdf,111822,False,not_attempted,False,0,True,True,duplicate
doc_4ca72a799dc2f0a1,.pdf,120036,False,not_attempted,False,0,True,True,duplicate
doc_f1751597d8d1037c,.pdf,57129,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_21a4c019659c6bf6,.pdf,120036,False,not_attempted,False,0,True,True,duplicate
doc_a9f02a0099fdc67e,.pdf,126163,False,not_attempted,False,0,True,True,duplicate
doc_376f2c04ddd59dc8,.pdf,60326,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_f9e1a4b7a697248c,.pdf,59941,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_494acd8832261b1d,.pdf,152003,False,not_attempted,False,0,True,True,duplicate
doc_7d857ce2b4f52902,.pdf,143069,False,not_attempted,False,0,True,True,duplicate
doc_786977520f760723,.pdf,75564,False,not_attempted,False,0,True,True,duplicate
doc_8b4b18765ca288bc,.pdf,120036,False,not_attempted,False,0,True,True,duplicate
doc_aa3da243d997ca47,.pdf,126163,False,not_attempted,False,0,True,True,duplicate
doc_28116b1d0ce9e394,.pdf,126163,False,not_attempted,False,0,True,True,duplicate
doc_627873b71564c417,.pdf,78960,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_ffabe2adc9f36bb0,.pdf,87115,False,not_attempted,False,0,True,True,duplicate
doc_7d4bee31a8b8e140,.pdf,150555,False,not_attempted,False,0,True,True,duplicate
doc_bbda9d39e33dca95,.pdf,143069,False,not_attempted,False,0,True,True,duplicate
doc_72eb52f762594ab1,.pdf,78961,False,not_attempted,False,0,True,True,duplicate
doc_77bc6e8e9c671d61,.pdf,5958458,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_cc36f7135f053e12,.pdf,1881874,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_897b6fe7cae48827,.pdf,459322,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_7ba515043f58b908,.pdf,1283192,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_32b4c7849dc2952e,.pdf,1172393,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5feb38dd4738ece8,.pdf,1648422,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_a73ca1d66a399682,.pdf,131440,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_bf15cbb8acc630b3,.pdf,26368,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_286f60799668acbe,.pdf,274812,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_b807cb269829d0ac,.pdf,18997,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_2e8dc3be6fa762fd,.pdf,815765,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_a00d78d033395ab4,.pdf,21040,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_35f90078f21838f7,.pdf,1344287,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_29cda08eb360461c,.pdf,42317,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_f32fac42c1c16d8d,.pdf,423608,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_13ac132f064e2167,.pdf,695101,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_22af5f47b7ff8b95,.pdf,259825,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_d7d5388143ecb6ca,.pdf,3072501,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_968862304f77db0e,.pdf,3314294,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_f9252d7cd043b890,.pdf,4646890,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_8c25cc87caceb70d,.pdf,4594862,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5310c14465cf50c1,.pdf,127678,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5999ec652a9746f8,.tif,207749,True,image_ocr_unavailable,False,0,True,True,extraction_unavailable
doc_5c9360bacfd1f535,.pdf,3226679,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_784297d9c448a6cf,.tif,46625,True,image_ocr_unavailable,False,0,True,True,extraction_unavailable
doc_a98a1fd03812bd8c,.pdf,121339,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_1f5f0b05f6d3a0a5,.pdf,7578912,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_b003a0481bc98b2e,.pdf,783268,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_122f7f0a3bb1897f,.pdf,948680,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_4617453670496ede,.pdf,974417,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_26183a4e057e65fc,.pdf,2780723,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_f1bfd803fa83fe85,.pdf,672151,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_cd62e194fb35c0cc,.docx,14489,True,python_docx,True,0,False,False,ready_for_ai_extraction
doc_0ceb5140630e6226,.pdf,248524,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_264accc2150796da,.pdf,1452842,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_543c115fc9258e87,.pdf,697139,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_499dd27c4d54a2e4,.pdf,286245,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_70e780c811c81e8f,.pdf,388310,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_6faddd21aacbb407,.pdf,4855028,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_72755eae8d5954e6,.pdf,464239,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_9dcb89bfd1c0e027,.pdf,105956,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_16fcabf126454355,.pdf,2602834,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_4d1468c639793a64,.pdf,43187,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_8cd64495111fbdf4,.pdf,417429,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_a493e0afa36fd928,.pdf,147423,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_23c6fbdb7a1bdc91,.pdf,403917,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_ed22655c1d9a3eb7,.pdf,142740,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_71ec65e68ad87985,.pdf,406054,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_d54376dc5832c9fc,.pdf,163754,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_e197ef21aae54ac0,.pdf,283385,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_d3e931f86dd890b4,.pdf,731795,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_b01446ba2b744f04,.pdf,413859,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_a37042d795369ad8,.pdf,591085,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_8068b376ccfef880,.pdf,310894,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_eb4b101361745e38,.docx,2036329,True,python_docx,False,0,True,True,extraction_unavailable
doc_225f899aaf8f70d0,.pdf,2718373,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_6400e38e56a5027f,.pdf,1138180,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_c751154a85e1fc13,.jpg,201004,True,pytesseract,True,0,False,False,ready_for_ai_extraction
doc_0e11f5b8f7f7340e,.jpg,151490,True,pytesseract,True,0,False,False,ready_for_ai_extraction
doc_27e28004f9c37bba,.pdf,798221,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_bdc3ef9b2c94e55e,.pdf,4748265,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
